# Author(s);Watermeyer, K., & Zimmermann, J. ;;;
# Reference;Watermeyer, K., & Zimmermann, J. (2021). A partition-based branch-and-bound algorithm for the project duration problem with partially renewable resources and general temporal constraints. OR Spectrum. https://doi.org/10.1007/s00291-021-00654-9;;;
# Date;09/12/2021;;;
# Hardware / software;Coded in C++, compiled with the 64-bit Visual Studio 2017 C++, and run on a single thread of an Intel Core i7-8700 CPU with 3.2 GHz and 64 GB RAM under Windows 10;;;
# Stop criteria(s);"BB1 procedure, with stop criteria set: 300; 600; 1200; 3600 seconds (detailed results: http://solutionsupdate.ugent.be/sites/default/files/results/josecoelho/2022-03-07/results_BB1_cv.zip)";;;
# Submission date; 2022/03/07;;;
ID;Type;Value;Time;Solution
1;heuristic;50;3600000;
1;lower bound;28;3600000;
2;heuristic;49;3600000;
2;lower bound;24;3600000;
3;heuristic;38;3600000;
3;lower bound;26;3600000;
4;optimal;39;3214030;
5;heuristic;64;3600000;
5;lower bound;38;3600000;
6;heuristic;49;3600000;
6;lower bound;27;3600000;
7;heuristic;60;3600000;
7;lower bound;36;3600000;
8;optimal;64;533177;
9;heuristic;46;3600000;
9;lower bound;29;3600000;
10;heuristic;40;3600000;
10;lower bound;18;3600000;
11;heuristic;50;3600000;
11;lower bound;27;3600000;
12;heuristic;52;3600000;
12;lower bound;32;3600000;
13;heuristic;43;3600000;
13;lower bound;26;3600000;
14;optimal;41;1897140;
15;heuristic;55;3600000;
15;lower bound;29;3600000;
16;heuristic;66;3600000;
16;lower bound;36;3600000;
17;heuristic;55;3600000;
17;lower bound;30;3600000;
18;heuristic;76;3600000;
18;lower bound;39;3600000;
19;heuristic;50;3600000;
19;lower bound;27;3600000;
20;heuristic;42;3600000;
20;lower bound;31;3600000;
21;heuristic;91;3600000;
21;lower bound;48;3600000;
22;heuristic;59;3600000;
22;lower bound;37;3600000;
23;heuristic;56;3600000;
23;lower bound;30;3600000;
24;heuristic;77;3600000;
24;lower bound;42;3600000;
25;optimal;47;1454160;
26;heuristic;60;3600000;
26;lower bound;33;3600000;
27;heuristic;58;3600000;
27;lower bound;35;3600000;
28;optimal;74;732007;
29;heuristic;66;3600000;
29;lower bound;45;3600000;
30;heuristic;68;3600000;
30;lower bound;42;3600000;
31;heuristic;61;3600000;
31;lower bound;38;3600000;
32;optimal;77;176370;
33;heuristic;63;3600000;
33;lower bound;33;3600000;
34;heuristic;61;3600000;
34;lower bound;33;3600000;
35;heuristic;51;3600000;
35;lower bound;32;3600000;
36;heuristic;61;3600000;
36;lower bound;31;3600000;
37;optimal;52;130159;
38;optimal;57;3131800;
39;heuristic;49;3600000;
39;lower bound;34;3600000;
40;heuristic;70;3600000;
40;lower bound;43;3600000;
41;heuristic;50;3600000;
41;lower bound;27;3600000;
42;heuristic;48;3600000;
42;lower bound;25;3600000;
43;heuristic;48;3600000;
43;lower bound;28;3600000;
44;heuristic;46;3600000;
44;lower bound;24;3600000;
45;heuristic;37;3600000;
45;lower bound;27;3600000;
46;heuristic;48;3600000;
46;lower bound;30;3600000;
47;heuristic;55;3600000;
47;lower bound;28;3600000;
48;heuristic;53;3600000;
48;lower bound;36;3600000;
49;heuristic;38;3600000;
49;lower bound;20;3600000;
50;heuristic;46;3600000;
50;lower bound;25;3600000;
51;optimal;56;255927;
52;heuristic;52;3600000;
52;lower bound;26;3600000;
53;optimal;57;190614;
54;heuristic;67;3600000;
54;lower bound;36;3600000;
55;heuristic;66;3600000;
55;lower bound;39;3600000;
56;heuristic;68;3600000;
56;lower bound;43;3600000;
57;heuristic;63;3600000;
57;lower bound;35;3600000;
58;heuristic;46;3600000;
58;lower bound;23;3600000;
59;heuristic;45;3600000;
59;lower bound;30;3600000;
60;optimal;44;354242;
61;heuristic;72;3600000;
61;lower bound;37;3600000;
62;heuristic;56;3600000;
62;lower bound;31;3600000;
63;heuristic;81;3600000;
63;lower bound;38;3600000;
64;heuristic;53;3600000;
64;lower bound;31;3600000;
65;heuristic;76;3600000;
65;lower bound;27;3600000;
66;heuristic;65;3600000;
66;lower bound;42;3600000;
67;optimal;65;224455;
68;optimal;57;418764;
69;optimal;61;1573360;
70;heuristic;46;3600000;
